id,bad,w_pct_cnt_to_black,w_app_cnt_m1,w_app_time_minus_update_time,w_cpa_rt_days,w_cpc_cnt_week_cv,w_cpc_mthly_call_02_cnt,w_be_not_familiar,w_d_7_cnt,w_cnt_applied_over_cnt_all,w_most_familiar_applied,w_d_30_cnt,w_rpt_org_m3
5738,0,-0.050609438,-0.114576736,0.256830669,0.168365271,0.219471095,-0.156092085,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
5751,1,-0.390181396,0.301451979,0.256830669,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,0.108872828,-0.103970127,0.172905067,0.162955769
5757,0,0.050593938,0.301451979,0.256830669,-0.019167012,0.219471095,-0.156092085,0.070292526,-0.086194664,-0.146480844,0.06111476,-0.061875188,-0.081371326
5759,0,0.050593938,0.033448676,0.132377357,-0.019167012,0.219471095,0.133516041,-0.186296131,0.098940128,0.214857769,-0.103970127,0.172905067,0.162955769
5764,0,0.050593938,0.033448676,0.132377357,-0.019167012,-0.488645144,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,0.082506884,0.162955769
5785,0,0.050593938,0.033448676,-0.133867924,0.168365271,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
5799,1,0.050593938,0.301451979,-0.133867924,-0.019167012,0.008388903,-0.156092085,-0.13947193,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
5809,0,0.050593938,0.301451979,0.256830669,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
5816,0,-0.050609438,0.301451979,-0.133867924,-0.09846067,0.219471095,-0.156092085,-0.13947193,0.098940128,0.214857769,-0.103970127,0.082506884,0.162955769
5823,0,0.050593938,-0.439143824,0.02171007,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.057475643,0.06111476,-0.21804462,-0.081371326
5853,0,0.050593938,-0.248885013,0.132377357,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,0.06111476,0.082506884,-0.57493887
5876,0,0.050593938,0.301451979,0.256830669,-0.09846067,0.008388903,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,0.172905067,-0.081371326
5935,0,-0.050609438,0.301451979,0.02171007,-0.09846067,0.219471095,0.133516041,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
6069,0,0.050593938,0.033448676,-0.133867924,-0.019167012,-0.190036537,-0.156092085,0.290523645,-0.086194664,-0.146480844,0.06111476,-0.21804462,0.162955769
6093,0,0.050593938,-0.248885013,-0.133867924,0.168365271,-0.190036537,0.133516041,0.070292526,0.098940128,-0.146480844,0.06111476,-0.21804462,-0.081371326
6091,0,-0.050609438,-0.439143824,-0.28968773,-0.019167012,-0.488645144,-0.156092085,-0.186296131,-0.086194664,0.108872828,-0.103970127,-0.061875188,-0.081371326
6094,0,0.050593938,0.033448676,0.256830669,-0.019167012,0.219471095,0.444287528,0.070292526,0.098940128,0.108872828,0.06111476,0.082506884,0.162955769
6106,0,-0.050609438,-0.114576736,-0.133867924,-0.019167012,0.219471095,0.444287528,-0.186296131,0.098940128,-0.146480844,0.06111476,0.082506884,-0.081371326
6277,1,0.050593938,-0.439143824,-0.28968773,-0.019167012,0.219471095,-0.156092085,0.290523645,-0.086194664,0.108872828,0.06111476,-0.21804462,-0.57493887
6326,0,0.050593938,-0.248885013,0.132377357,-0.019167012,0.008388903,-0.156092085,0.290523645,0.098940128,0.214857769,0.06111476,-0.061875188,0.162955769
6356,0,-0.050609438,0.301451979,-0.133867924,0.168365271,0.219471095,0.133516041,-0.186296131,-0.086194664,-0.146480844,0.06111476,-0.21804462,0.162955769
6367,1,-0.050609438,-0.114576736,-0.133867924,-0.019167012,0.219471095,0.133516041,-0.186296131,-0.690002775,-0.146480844,-0.103970127,-0.061875188,-0.081371326
6381,0,-0.050609438,-0.114576736,0.02171007,-0.019167012,0.008388903,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
6410,1,-0.050609438,-0.114576736,-0.133867924,-0.09846067,0.219471095,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,-0.061875188,-0.081371326
6408,0,-0.050609438,-0.439143824,-0.133867924,0.168365271,0.219471095,0.444287528,0.290523645,0.098940128,0.214857769,0.06111476,0.172905067,-0.57493887
6351,1,-0.390181396,0.301451979,-0.133867924,0.168365271,-0.190036537,-0.156092085,0.070292526,0.098940128,0.108872828,-0.103970127,0.172905067,0.162955769
6428,0,0.050593938,0.033448676,0.02171007,-0.019167012,0.219471095,0.133516041,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
6439,0,0.050593938,0.301451979,-0.28968773,0.168365271,0.219471095,0.444287528,0.070292526,0.098940128,0.108872828,-0.103970127,0.082506884,-0.081371326
