train_id,score,config/C,config/solver,config/tol
40,0.8816666666666667,0.48889254788436676,sag,0.0007916825184747367
39,0.8816666666666667,0.24067782703082907,saga,0.0005240126885036651
38,0.8816666666666667,0.8413551329622005,saga,0.0005583743767757566
36,0.8816666666666667,0.44811973390347815,saga,0.0002834111279500115
26,0.8816666666666667,0.7531959554367892,sag,0.00030589538596304607
35,0.8816666666666667,0.7621947496513972,newton-cg,0.0007627482504460049
34,0.8816666666666667,0.632834414898387,newton-cg,0.0008062844414641443
33,0.8816666666666667,0.19472199788469313,newton-cg,0.0008527135292577564
32,0.8816666666666667,0.36430224647537734,liblinear,0.00042172181790100887
31,0.8816666666666667,0.7894687180214625,lbfgs,0.0005671016122755458
30,0.8816666666666667,0.21176465052213672,saga,0.0008314145167554531
29,0.8816666666666667,0.5492753536970096,sag,0.00034417643020968896
